2022-05-17 23:05:471 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (79f9e542f2833c591a2bfc890bc1f0d1)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-17 23:05:711 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 23:05:560 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (d20efbee8bd2e73a21614f3798f5acff)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-17 23:05:41 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 23:05:107 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 23:05:66 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (64be031abe828087fd324cb002a6e897)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-17 23:05:309 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 23:05:801 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (39495a70cdb1392a048269a8741ed1b6)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-17 23:05:127 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 23:05:751 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 23:05:601 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (a5e09c671aeb4d1bb48ec5195226253e)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-17 23:05:416 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 23:05:297 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (f8ffc615262591798c1d85a46887f00c)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-17 23:05:465 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 23:05:209 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (5564eea02b4c0bdd2c9148ef47a86b78)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-17 23:05:707 INFO  ManageDriver :32 - Launching Chrome Browser
